OBJECTID,Shape,COMPKEY,ELMNTKEY,SEGKEY,UNITID,UNITDESC,RECEIPT_NBR,PANDD_NBR,PAIDAREA,SUBAREA,SIDE
61,(47.65972862600006: -122.31242609099996),529410,62034,16813,PSL-L096,NE 43RD ST 0140 BLOCK S SIDE ( 162) 162 FT E/O UNIVERSITY WAY NE (NE43-14-13)                                                                                                                                                                                  ,L096,12096302,University District,Core,S
62,(47.609724639000035: -122.31690132799997),529389,1577,1533,PSL-I006,12TH AVE 0080 BLOCK W SIDE ( 168) 168 FT N/O E COLUMBIA ST (E12-08-15)                                                                                                                                                                                         ,I006,9006002,12th Avenue,,W
63,(47.62328880900003: -122.34141479099998),595607,12537,12559,PSL-U252,REPUBLICAN ST 0075 BLOCK N SIDE ( 199) 199 FT E/O DEXTER AVE N (N5-07-64)                                                                                                                                                                                      ,U252,19252002,South Lake Union,South,N
64,(47.61108409500008: -122.34015135799996),528247,12878,12898,PSL-E033,STEWART ST 0020 BLOCK SE SIDE (  55) 55 FT NE/O 2ND AVE (19-02-03)                                                                                                                                                                                             ,E033,5033302,Commercial Core,Retail,SE
65,(47.615157011000065: -122.32390683399996),528206,37178,14631,PSL-G024,E PINE ST 0060 BLOCK S SIDE ( 124) 124 FT E/O BELMONT AVE (E16-06-09)                                                                                                                                                                                          ,G024,7024002,Pike-Pine,,S
66,(47.607396477000066: -122.33665304799996),527910,58498,13201,PSL-E007,UNIVERSITY ST 0020 BLOCK SE SIDE (  80) 80 FT NE/O 2ND AVE (13-02-05)                                                                                                                                                                                          ,E007,5007002,Commercial Core,Retail,SE
67,(47.60311299000006: -122.32239184099996),535043,76398,8509,PSL-H550,9TH AVE 0020 BLOCK NE SIDE ( 142) 142 FT NW/O SPRUCE ST (09-02-12)                                                                                                                                                                                             ,H550,8550002,First Hill,,NE
68,(47.605021055000066: -122.32721321999998),533958,76034,8152,PSL-H535,7TH AVE 0060 BLOCK NE SIDE ( 132) 132 FT NW/O JAMES ST (07-06-10)                                                                                                                                                                                              ,H535,8535002,First Hill,,NE
69,(47.61825208600004: -122.34282691099997),581736,30974,8167,PSL-W130,7TH AVE 0240 BLOCK NE SIDE (  61) 61 FT NW/O BATTERY ST (07-24-04)                                                                                                                                                                                             ,W130,21130004,Denny Triangle,North,NE
70,(47.66303361300004: -122.31559922899999),529897,17066,16894,PSL-L176,NE 47TH ST 0110 BLOCK S SIDE ( 168) 168 FT E/O 11TH AVE NE (NE47-11-13)                                                                                                                                                                                        ,L176,12176004,University District,Edge,S
71,(47.60854544800003: -122.32581203699999),576103,58414,13107,PSL-H152,TERRY AVE 0090 BLOCK NE SIDE ( 134) 134 FT NW/O MARION ST (TY-09-10/12)                                                                                                                                                                                        ,H152,8152002,First Hill,,NE
72,(47.60703458300003: -122.33755762399994),527909,58494,13200,PSL-E004,UNIVERSITY ST 0010 BLOCK SE SIDE ( 147) 147 FT NE/O 1ST AVE (13-01-11)                                                                                                                                                                                         ,E004,5004002,Commercial Core,Retail,SE
73,(47.606617062000055: -122.31665873799994),529393,46726,1529,PSL-I008,12TH AVE 0050 BLOCK E SIDE ( 132) 132 FT N/O E JEFFERSON ST (E12-05-10)                                                                                                                                                                                        ,I008,9008002,12th Avenue,,E
74,(47.66458694100004: -122.31536080699999),529704,69489,1569,PSL-L114,12TH AVE NE 0470 BLOCK W SIDE ( 521) 521 FT N/O NE 47TH ST (NE12-47-45)                                                                                                                                                                                        ,L114,12114002,University District,Core,W
75,(47.60907366300006: -122.34333171699996),545675,78114,10199,PSL-B533,ELLIOTT AVE 0190 BLOCK NE SIDE (  81) 81 FT NW/O PINE ST (OV-19-16)                                                                                                                                                                                            ,B533,2533004,Commercial Core,Waterfront,NE
76,(47.60974206100008: -122.32634721299996),529746,58194,12869,PSL-H025,SPRING ST 0100 BLOCK SE SIDE ( 133) 133 FT NE/O TERRY AVE (11-10-09)                                                                                                                                                                                           ,H025,8025002,First Hill,,SE
